accuracy,epoch,f1,mae,precision,recall,rmse,samples_used,stage,train_loss
0.8454784514243355,1,0.8785495248016313,,0.8402833452308122,0.9204672593625206,,,1,0.31427877144413
0.8429291453615162,2,0.8750762459570604,,0.846156438891665,0.9060428521587399,,,1,0.30395964628643324
0.8473849525200257,3,0.8801793846958431,,0.8410012493697433,0.9231861217712398,,,1,0.3026049339785404
0.8502191380569137,4,0.8839512551125723,,0.8346051084748494,0.9394992962235555,,,1,0.30191491988494884
0.8474360847333201,5,0.8798204679939571,,0.8432174881709064,0.9197454374840995,,,1,0.301189522810451
0.8466106647187109,6,0.8786851101179263,,0.8452407415639482,0.9148851701693979,,,1,0.3005066948186892
0.8494740686631957,7,0.8831994690259313,,0.835005251537861,0.9372977394943713,,,1,0.2999802616793695
0.8501753104455185,8,0.8828297665674554,,0.8405417165233503,0.9295983061245469,,,1,0.29968089851751595
0.8513513513512891,9,0.8843736810798652,,0.8379434724090619,0.9362510977706608,,,1,0.2988866661178881
0.8486121256390906,10,0.880519310812279,,0.8453661884519079,0.9187228564896697,,,1,0.2987803385389776
0.8465230094959205,11,0.8785975485845666,,0.8452738309651519,0.9146565932412312,,,1,0.2984769209153233
0.8473849525200257,12,0.8794868639049525,,0.8447874650945387,0.9171589090864241,,,1,0.2986742650335289
0.8494302410518005,13,0.8815460508549884,,0.8438620811053706,0.9227530286441872,,,1,0.2988268313671823
0.8494594594593974,14,0.88163705514784,,0.8435061652415716,0.9233786076054855,,,1,0.2987505300633272
0.8513732651569866,15,0.884204530768339,,0.8389925695523546,0.9345668467210118,,,1,0.29877467816683545
,1,,8.597290992736816,,,10.866687774658203,14414,2,0.5275605056365638
,2,,8.387309074401855,,,10.740351676940918,14401,2,0.5177679686816247
,3,,8.417805671691895,,,10.733390808105469,14428,2,0.5154115977611756
,4,,8.383363723754883,,,10.720887184143066,14424,2,0.5153168425813273
,5,,8.41565990447998,,,10.73234748840332,14412,2,0.5155230589276125
,6,,8.337536811828613,,,10.695974349975586,14433,2,0.5155393183663768
,7,,8.463197708129883,,,10.746888160705566,14421,2,0.5149209737564043
,8,,8.332084655761719,,,10.718746185302734,14417,2,0.5151252967229036
,9,,8.465470314025879,,,10.761054992675781,14416,2,0.5152496587612893
,10,,8.408235549926758,,,10.727713584899902,14416,2,0.5150293828408194
